question,answer
"That means, for example, that one line of 
computer code is as complex and desirable as any other line of computer 
code?","as complex and desirable as any other line of computer 
code."
"Similarly, cleaning 1 gallon of oil spill is as good as cleaning any other 
gallon of oil spill within the same work environment?","as good as cleaning any other 
gallon of oil spill within the same work environment."
"The production of 
one unit of a product is identical to the production of any other unit of the 
product?","identical to the production of any other unit of the 
product."
"Uniformity can be enhanced if the scope of the analysis is lim-
ited to a manageable size?",.
"The larger the scope of the analysis, the more the 
variability from one work unit to another, and the less uniform the overall 
work measurement will be?",", the more the 
variability from one work unit to another, and the less uniform the overall 
work measurement will be."
"For example, in a project involving the construc-
tion of 50 miles of surface road, the work analysis may be done in increments 
of 10 miles at a time rather than the total 50 miles?","may be done in increments 
of 10 miles at a time rather than the total 50 miles."
"If the total amount of work 
to be analyzed is defined as one whole unit, then the relationship below can 
be developed for the case of a single resource performing the work, with the 
parameters below:
Resource:	
Machine A
Work rate:	
r
Time:	
t
Work done:	 100% (1?","defined as one whole unit, then the relationship below can 
be developed for the case of a single resource performing the work, with the 
parameters below:
Resource:	
Machine A
Work rate:	
r
Time:	
t
Work done:	 100% (1."
"0)
The work rate, r, is the amount of work accomplished per unit time?",the amount of work accompl.
"0
For example, if machine A is to complete one work unit in 30 min, it must 
work at the rate of 1/30 of the work content per unit time?","to complete one work unit in 30 min, it must 
work at the rate of 1/30 of the work content per unit time."
"If the work rate 
is too low, then only a fraction of the required work will be performed?","too low, then only a fraction of the required work will be performed."
"In the case of multiple resources per-
forming the work simultaneously, the work relationship is as presented in 
Table 5?","as presented in 
Table 5."
"where
n = number of different resource types
ri = work rate of resource type i
ti = work time of resource type i
For partial completion of work, the relationship is
	
i
n
i i
rt
p
=
∑
=
1
where p is the proportion of the required work actually completed?","i
n
i i
rt
p
=
∑
=
1
where p."
"0
147
Critical Path Method for Oil and Gas Projects
working together finished the remaining work in 15 min?",hed the remaining work in 15 min.
"What is the 
work rate for machine B?
SOLUTION
The amount of work to be done is 1?","the 
work rate for machine B?
SOLUTION
The amount of work to be done."
The work rate of machine A is 1/50?,1/50.
"The amount of work completed by machine A in the 10 min it worked 
alone is (1/50)(10) = 1/5 of the required total work?",(1/50)(10) = 1/5 of the required total work.
"Therefore, the remaining amount of work to be done is 4/5 of the 
required total work?","4/5 of the 
required total work."
"Thus, the work rate for machine B is 1/30?",1/30.
"In this example, it is assumed that both machines produce an identical 
quality of work?","example, it."
"If quality levels are not identical, then the project analyst 
must consider the potentials for quality/time trade-offs in performing the 
required work?","not identical, then the project analyst 
must consider the potentials for quality/time trade-offs in performing the 
required work."
"The relative costs of the different resource types needed to 
perform the required work may be incorporated into the analysis as shown 
in Table 5?","as shown 
in Table 5."
"9
Incorporation of Resource Cost into Work Rate Analysis
Resource, i
Work 
Rate, ri
Time, ti
Work Done, 
w
Pay Rate, pi
Pay, Pi
Machine A
r1
t1
(r1)(t1)
p1
P1
Machine B
r2
t2
(r2)(t2)
p2
P2?","Resource, i
Work 
Rate, ri
Time, ti
Work Done, 
w
Pay Rate, pi
Pay, Pi
Machine A
r1
t1
(r1)(t1)
p1
P1
Machine B
r2
t2
(r2)(t2)
p2
P2."
"8
Work Rate Tabulation for Machines A and B
Resource, i
Work Rate, ri
Time, ti
Work Done, w
Machine A
1/50
15
15/50
Machine B
r2
15
15(r2)
Total
4/5
148
Project Management for the Oil and Gas Industry
Using the above relationship for work rate and cost, the work crew can be 
analyzed to determine the best strategy for accomplishing the required work, 
within the required time, and within a specified budget?","hing the required work, 
within the required time, and within a specified budget."
